C87-21724-102;13/;02/201597;103;0037410;4/201;08/2;010;0;1314/03/20;15003;86395.851605;;01/00317/
C87-21724-102;13/;02/201597;108;0035320;3/201;08/2;010;0;1314/03/20;15003;81657.871605;;01/08209/
C87-21724-102;13/;02/201597;108;0008721;2/200;03/2;01012/04/20;100;1314/03/20;15003;84657.221605;;01/98216/
C87-21724-102;13/;02/201597;118;0003900;6/201;01/2;011;0;1314/03/20;15003;81386.571605;;01/08228/
C87-21724-102;13/;02/201597;108;0007271;1/200;03/2;01021/04/20;100;0929/09/20;14020;44734.041605;;01/98216/
C87-21724-102;13/;02/201597;108;0039940;7/201;08/2;010;0;1314/03/20;15003;81408.061605;;01/08223/
C87-21724-102;13/;02/201597;103;0050271;0/201;11/2;010;0;1314/03/20;15003;83582.771605;;01/00325/
C87-21724-102;13/;02/201597;108;0050271;0/201;11/2;010;0;1314/03/20;15003;81433.101605;;01/08225/
C87-21724-102;13/;02/201597;103;0055331;1/201;12/2;010;0;1314/03/20;15003;83406.601605;;01/00327/
C87-21724-102;13/;02/201597;108;0055331;1/201;12/2;010;0;1314/03/20;15003;81362.641605;;01/08227/
C87-21724-102;13/;02/201597;113;0003081;2/201;01/2;011;0;1314/03/20;15003;83520.151605;;01/00326/
C87-21724-102;13/;02/201597;118;0003081;2/201;01/2;011;0;1314/03/20;15003;81408.061605;;01/08226/
C87-21724-102;13/;02/201597;118;0066950;1/201;04/2;011;0;1314/03/20;15003;81066.841605;;01/18201/
C87-21724-102;13/;02/201597;113;0066050;2/201;04/2;011;0;1314/03/20;15003;81957.861605;;01/10301/
C87-21724-102;13/;02/201597;103;0008721;2/200;03/2;01012/04/20;100;1314/03/20;15003;811643.061605;;01/90316/
C87-21724-102;13/;02/201597;088;0048900;9/200;12/2;008;0;1314/03/20;15003;815348.751605;;01/88217/
C87-21724-102;13/;02/201597;108;0005660;5/200;02/2;01018/03/20;100;1314/03/20;15003;86592.281605;;01/98222/
C87-21724-102;13/;02/201597;103;0007271;1/200;03/2;01021/04/20;100;1314/03/20;15003;811835.101605;;01/90316/
C87-21724-102;13/;02/201597;113;0158651;1/200;05/2;01120/06/20;110;1314/03/20;15003;8137076.621605;;01/70316/
C87-21724-102;13/;02/201597;118;0158651;1/200;05/2;01120/06/20;110;1314/03/20;15003;854830.641605;;01/78216/
C87-21724-102;13/;02/201597;083;0048900;9/200;12/2;008;0;1314/03/20;15003;838371.891605;;01/80317/
C87-21724-102;13/;02/201597;093;0015630;2/200;10/2;011;0;1314/03/20;15003;825404.461605;;01/90304/
C87-21724-102;13/;02/201597;098;0015630;2/200;10/2;011;0;1314/03/20;15003;810161.781605;;01/98204/
C87-21724-102;13/;02/201597;098;0044120;3/200;11/2;00914/12/20;100;1314/03/20;15003;88247.261605;;01/98223/
C87-21724-102;13/;02/201597;093;0032170;4/200;10/2;009;0;1314/03/20;15003;822877.031605;;01/90312/
C87-21724-102;13/;02/201597;108;0002580;4/200;02/2;01025/02/20;100;1314/03/20;15003;88380.011605;;01/98209/
C87-21724-102;13/;02/201597;108;0009680;6/200;03/2;01021/04/20;100;1314/03/20;15003;84405.791605;;01/98226/
C87-21724-102;13/;02/201597;108;0006421;0/200;02/2;01008/03/20;100;1314/03/20;15003;85649.341605;;01/98222/
C87-21724-102;13/;02/201597;093;0046340;7/200;12/2;00919/01/20;100;1314/03/20;15003;824170.911605;;01/90321/
C87-21724-102;13/;02/201597;098;0046340;7/200;12/2;00919/01/20;100;1314/03/20;15003;89668.361605;;01/98221/
C87-21724-102;13/;02/201597;103;0001580;8/200;02/2;01025/02/20;100;1314/03/20;15003;823521.251605;;01/90309/
C87-21724-102;13/;02/201597;108;0001580;8/200;02/2;01025/02/20;100;1314/03/20;15003;89408.501605;;01/98209/
C87-21724-102;13/;02/201597;103;0004710;9/200;02/2;01004/03/20;100;1314/03/20;15003;822504.931605;;01/90311/
C87-21724-102;13/;02/201597;108;0004710;9/200;02/2;01004/03/20;100;1314/03/20;15003;89001.971605;;01/98211/
C87-21724-102;13/;02/201597;103;0006421;0/200;02/2;01008/03/20;100;1314/03/20;15003;814123.371605;;01/90322/
C87-21724-102;13/;02/201597;118;0066050;2/201;04/2;011;0;1314/03/20;15003;8783.141605;;01/18201/
D38-22234-102;30/;09/201297;128;0002520;3/201;03/2;015;0;1313/03/20;15003;91246.601605;;01/28912/
E23-82031-101;27/;05/200853;152;0029631;2/201;02/2;015;0;1313/03/20;15003;91328.081605;;01/40212/
E23-82031-101;27/;05/200853;158;0029631;2/201;02/2;015;0;1313/03/20;15003;9531.231605;;01/48012/
E23-82031-101;27/;05/200853;156;004436C0;6/201;02/2;015;0;1313/03/20;15003;9166.251605;;01/48112/
E29-28547-101;11/;11/201212;139;0238521;1/201;11/2;01312/12/20;130;1310/03/20;15004;222042.181605;;01/30019/
E39-48547-102;31/;08/200197;099;0316101;2/199;11/2;00910/03/20;150;3107/04/20;15001;43766.821605;;01/70317/
E39-48547-102;31/;08/200197;099;0316071;0/199;11/2;00910/03/20;150;3107/04/20;15001;42150.181605;;01/78217/
E39-48547-102;31/;08/200197;099;0316130;1/199;11/2;00910/03/20;150;3107/04/20;15001;4935.951605;;01/88217/
E39-48547-102;31/;08/200197;099;0316120;1/199;11/2;00910/03/20;150;3107/04/20;15001;42339.881605;;01/80317/
E39-48547-102;31/;08/200197;099;0316111;2/199;11/2;00910/03/20;150;3107/04/20;15001;41506.731605;;01/78217/
E39-48547-102;31/;08/200197;099;0316091;1/199;11/2;00910/03/20;150;3107/04/20;15001;42121.641605;;01/78217/
E39-48547-102;31/;08/200197;099;0316081;1/199;11/2;00910/03/20;150;3107/04/20;15001;45304.101605;;01/70317/
E39-48547-102;31/;08/200197;099;0316061;0/199;11/2;00910/03/20;150;3107/04/20;15001;45375.451605;;01/70317/
E39-48547-102;31/;08/200197;099;0316050;9/199;11/2;00910/03/20;150;3107/04/20;15001;42175.631605;;01/78217/
E39-48547-102;31/;08/200197;099;0316040;9/199;11/2;00910/03/20;150;3107/04/20;15001;45439.081605;;01/70317/
E75-14187-102;30/;11/200297;971;0260011;0/199;10/1;997;0;1920/10/20;11127;91058.971605;;01/70231/
E84-13514-102;13/;09/200139;023;0015240;2/199;04/2;002;0;1920/10/20;11127;99698.931605;;01/80308/
E84-13514-102;13/;09/200139;023;0025800;3/199;04/2;002;0;1920/10/20;11127;918591.991605;;01/80315/
E84-13514-102;13/;09/200139;023;0036900;4/199;04/2;002;0;1920/10/20;11127;924427.251605;;01/80315/
E84-13514-102;13/;09/200139;023;0048090;5/199;05/2;002;0;1920/10/20;11127;91456.131605;;01/80302/
E84-13514-102;13/;09/200139;023;0059020;6/199;05/2;002;0;1920/10/20;11127;9808.851605;;01/80302/
E84-13514-102;13/;09/200139;023;0080270;8/199;05/2;002;0;1920/10/20;11127;91698.361605;;01/80312/
F44-10938-102;05/;08/201300;143;007780C0;8/201;12/2;014;0;1303/03/20;15004;950.931605;;01/10310/
F44-10938-102;05/;08/201300;148;007780C0;8/201;12/2;014;0;1303/03/20;15004;920.371605;;01/18210/
G03-15788-102;02/;05/200295;011;2830531;2/200;12/2;001;0;1920/10/20;11127;9226560.931605;;01/10231/
G03-15788-102;02/;05/200295;021;0145350;1/200;01/2;002;0;1920/10/20;11127;9203156.831605;;01/20231/
G03-15788-102;02/;05/200295;021;0388350;2/200;02/2;002;0;1920/10/20;11127;9109998.481605;;01/20228/
G03-15788-102;02/;05/200295;021;0638580;3/200;03/2;002;0;1920/10/20;11127;972878.981605;;01/20231/
G03-15788-102;02/;05/200295;021;0880760;4/200;04/2;002;0;1920/10/20;11127;938923.511605;;01/20230/
H02-27004-101;23/;09/201400;158;0001681;2/201;01/2;015;0;1302/02/20;15007;81254.971605;;01/48020/
H02-27004-101;23/;09/201400;158;0018851;1/201;01/2;015;0;1304/02/20;15007;61214.471605;;01/48022/
H02-27004-101;23/;09/201400;146;019028C0;5/201;12/2;014;0;1304/02/20;15007;6350.141605;;01/48105/
H02-27004-101;23/;09/201400;142;0186171;0/201;12/2;014;0;1304/02/20;15007;63137.431605;;01/40205/
H02-27004-101;23/;09/201400;148;0186171;0/201;12/2;014;0;1304/02/20;15007;61254.971605;;01/48005/
H02-27004-101;23/;09/201400;152;0001681;2/201;01/2;015;0;1302/02/20;15007;83137.431605;;01/40220/
H02-27004-101;23/;09/201400;152;0018851;1/201;01/2;015;0;1304/02/20;15007;63036.181605;;01/40222/
H02-27004-101;23/;09/201400;156;002546C0;6/201;02/2;015;0;1311/03/20;15004;1689.001605;;01/48112/
H02-27004-101;23/;09/201400;152;0030760;1/201;02/2;015;0;1311/03/20;15004;13190.741605;;01/50218/
H02-27004-101;23/;09/201400;158;0030760;1/201;02/2;015;0;1311/03/20;15004;11276.291605;;01/58018/
H09-28752-101;10/;03/201400;146;019152C0;5/201;12/2;014;0;1304/02/20;15007;6433.261605;;01/48105/
L43-17638-101;13/;07/200596;156;0022480;6/201;01/2;015;0;1303/02/20;15007;77593.081605;;01/48120/
L51-11118-102;30/;06/201397;129;0170760;5/200;09/2;012;0;1303/03/20;15004;930568.0116;;01/88817/
L51-11118-102;30/;06/201397;129;0170620;7/200;09/2;012;0;1303/03/20;15004;929683.3416;;01/88817/
L51-11118-102;30/;06/201397;118;0054920;7/200;03/2;011;0;4328/04/20;14035;8666.7916;;01/88219/
L51-11118-102;30/;06/201397;129;0170770;6/200;09/2;012;0;1303/03/20;15004;942172.8016;;01/88817/
L51-11118-102;30/;06/201397;129;0170610;6/200;09/2;012;0;1303/03/20;15004;935983.1616;;01/88817/
L51-11118-102;30/;06/201397;129;0170030;6/200;09/2;012;0;1303/03/20;15004;989957.9116;;01/85717/
L51-11118-102;30/;06/201397;129;0170600;5/200;09/2;012;0;1303/03/20;15004;936757.0116;;01/88817/
L51-11118-102;30/;06/201397;129;0170580;3/200;09/2;012;0;1303/03/20;15004;937517.0316;;01/88817/
L51-11118-102;30/;06/201397;129;0170020;5/200;09/2;012;0;1303/03/20;15004;991892.5316;;01/85717/
L51-11118-102;30/;06/201397;129;0170590;4/200;09/2;012;0;1303/03/20;15004;934901.9916;;01/88817/
L51-11118-102;30/;06/201397;129;0170010;4/200;09/2;012;0;1303/03/20;15004;987254.9816;;01/85717/
L51-11118-102;30/;06/201397;118;0065910;4/200;04/2;011;0;4328/04/20;14035;8457.2416;;01/88201/
L51-11118-102;30/;06/201397;118;0056670;8/200;03/2;011;0;4328/04/20;14035;8768.4816;;01/88219/
L51-11118-102;30/;06/201397;129;0170630;8/200;09/2;012;0;1303/03/20;15004;932757.6416;;01/88817/
L51-11118-102;30/;06/201397;129;0170050;8/200;09/2;012;0;1303/03/20;15004;981894.1116;;01/85717/
L51-11118-102;30/;06/201397;129;0170060;9/200;09/2;012;0;1303/03/20;15004;984247.9716;;01/85717/
L51-11118-102;30/;06/201397;129;0170640;9/200;09/2;012;0;1303/03/20;15004;933699.1816;;01/88817/
L51-11118-102;30/;06/201397;129;0170121;0/200;09/2;012;0;1303/03/20;15004;997736.8116;;01/85717/
L51-11118-102;30/;06/201397;129;0170651;0/200;09/2;012;0;1303/03/20;15004;939094.7216;;01/88817/
L51-11118-102;30/;06/201397;129;0170131;1/200;09/2;012;0;1303/03/20;15004;9126214.4316;;01/85717/
L51-11118-102;30/;06/201397;129;0170661;1/200;09/2;012;0;1303/03/20;15004;950485.7716;;01/88817/
L51-11118-102;30/;06/201397;129;0170141;2/200;09/2;012;0;1303/03/20;15004;9122528.4116;;01/85717/
L51-11118-102;30/;06/201397;129;0170671;2/200;09/2;012;0;1303/03/20;15004;949011.3616;;01/88817/
L51-11118-102;30/;06/201397;118;0006810;6/201;01/2;011;0;4328/04/20;14035;8788.2816;;01/08228/
